ATRIBUTO;DESCRIÇÃO;REFERÊNCIA;TIPO DE DADO;ACEITA NULOS;UNIDADE;FONTE;Coluna1
CITY;Nome da cidade;;NVARCHAR (50);FALSO;;-;
STATE;Nome do estado;;CHAR (2);FALSO;;-;
CAPITAL;1 se for capital de algum estado;;INTEGER;VERDADEIRO;;-;
IBGE_RES_POP;População residente;2010;INTEGER;FALSO;-;https://sidra.ibge.gov.br/tabela/1497;
IBGE_RES_POP_BRAS;População de brasileiros residentes;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/1497;
IBGE_RES_POP_ESTR;População de estrangeiros residentes;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/1497;
IBGE_DU;Total de unidades domesticas;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3495;
IBGE_DU_URBAN;Total de domolicios urbanos;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3495;
IBGE_DU_RURAL;Total de domilicios rurais;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3495;
IBGE_POP;Moradores em domicílios particulares;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_1;Moradores em domicílios particulares - até 1 ano de idade;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_1-4;Moradores em domicílios particulares - de 1 a 4 anos de idade;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_5-9;Moradores em domicílios particulares - de 4 a 8 anos de idade;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_10-14;Moradores em domicílios particulares - de 10 a 14 anos de idade;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3365;
IBGE_15-59;Moradores em domicílios particulares - de 15 a 69 anos de idade;2010;INTEGER;VERDADEIRO;-;https://sidra.ibge.gov.br/tabela/3365;
