,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
0,Abadia De Goiás,GO,8053,20665.0,Demais serviços,28227690,284,5,1,56,0,2,29,110,26,4,5,0,2,10,12,4,6,6,1,5,0,0,0,0,0,0,0,0,0,0,2158,1246,0,0,0,0,1
1,Abadia Dos Dourados,MG,7037,25592.0,Demais serviços,17909274,476,6,6,30,1,2,34,190,70,28,11,0,4,15,29,2,9,14,6,19,0,0,0,0,0,0,0,0,0,0,2227,1142,0,0,0,0,1
2,Abadiânia,GO,18427,15628.0,Demais serviços,37513019,288,5,9,26,0,2,7,117,12,57,2,1,0,7,15,3,11,5,1,8,0,0,1,34,1,1,1,1,33724584,67091904,2838,1426,0,0,0,0,3
3,Abaetetuba,PA,151934,8222.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,931,4,2,43,0,1,27,500,16,31,6,1,1,22,16,2,155,33,15,56,0,0,0,0,2,4,2,4,76181384,800078483,5277,25661,0,0,0,0,2
4,Abaeté,MG,23574,18250.0,Demais serviços,0,621,18,1,40,0,1,20,303,62,30,9,6,4,28,27,2,15,19,9,27,0,0,0,0,2,2,2,2,44974716,371922572,6928,2953,0,0,0,0,4
5,Abaiara,CE,11483,6370.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,86,1,0,4,0,0,6,48,2,10,2,0,0,2,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,553,1674,0,0,0,0,1
6,Abaré,BA,19939,6257.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,87,2,0,3,0,0,0,71,0,1,1,0,0,0,1,2,0,2,0,4,0,0,0,0,1,0,1,0,21823314,0,613,1532,0,0,0,0,1
7,Abatiá,PR,7795,21174.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,285,5,0,20,0,1,10,133,18,14,8,0,4,11,26,2,8,9,4,12,0,0,0,0,0,1,0,1,0,45976288,2168,912,0,0,0,0,1
8,Abaíra,BA,9212,6983.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,191,6,0,8,0,1,4,97,5,5,3,1,0,5,5,2,8,1,2,38,0,0,1,24,0,0,0,0,0,0,896,696,0,0,0,0,1
9,Abdon Batista,SC,2617,24739.0,"Administração, defesa, educação e saúde públicas e seguridade social",19506956,69,2,0,4,0,0,2,35,8,3,1,1,0,4,0,2,1,3,0,3,0,0,0,0,0,1,0,1,0,42909056,976,345,2,0,0,0,1
10,Abel Figueiredo,PA,7179,11096.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,72,0,0,9,0,1,0,41,1,0,1,0,0,2,1,6,6,0,0,4,0,0,0,0,0,1,0,1,0,11709575,279,807,0,0,0,0,1
11,Abelardo Luz,SC,17782,33983.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",0,464,8,2,40,1,1,25,177,67,25,9,4,7,26,16,2,14,13,4,23,0,0,0,0,1,2,1,2,29730462,382942698,5823,2001,1,0,0,0,1
12,Abre Campo,MG,13726,13690.0,Demais serviços,0,369,3,2,33,0,1,12,148,31,17,5,3,4,17,12,4,11,22,6,38,0,0,0,0,0,1,0,1,0,81340685,2838,1851,0,0,0,0,2
13,Abreu E Lima,PE,98990,14390.0,Demais serviços,119645700,841,1,0,130,0,2,26,434,27,36,14,3,4,18,30,2,47,20,6,41,0,0,0,0,2,3,2,3,155632735,460626103,14579,10122,0,0,0,0,1
14,Abreulândia,TO,2555,18543.0,"Administração, defesa, educação e saúde públicas e seguridade social",9712530,27,4,0,0,0,0,3,11,0,1,1,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,190,318,0,0,0,0,1
15,Acaiaca,MG,4061,8969.0,"Administração, defesa, educação e saúde públicas e seguridade social",12182050,60,1,3,8,0,0,2,24,1,4,1,0,0,1,3,2,5,1,0,4,0,0,0,0,0,0,0,0,0,0,899,598,0,0,0,0,1
16,Acajutiba,BA,15764,7305.0,"Administração, defesa, educação e saúde públicas e seguridade social",27275310,96,2,0,4,0,0,1,57,2,3,1,2,0,1,2,3,3,4,2,9,0,0,0,0,0,1,0,1,0,50185684,834,1444,0,0,0,0,1
17,Acarape,CE,16418,7820.0,"Administração, defesa, educação e saúde públicas e seguridade social",33078580,132,2,9,39,0,0,2,54,4,2,0,0,0,1,3,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,1089,1246,0,0,0,0,2
18,Acaraú,CE,61715,9410.0,"Administração, defesa, educação e saúde públicas e seguridade social",101483436,638,41,1,38,8,0,6,363,7,28,3,0,6,9,14,2,71,17,6,18,0,0,0,0,1,3,1,3,57802114,529074069,3371,10448,0,0,0,0,1
19,Acari,RN,11338,9577.0,"Administração, defesa, educação e saúde públicas e seguridade social",22943205,167,4,0,33,1,0,5,83,0,5,1,1,1,2,4,2,12,2,1,10,0,0,1,34,0,0,0,0,0,0,1259,1802,0,0,0,0,1
